CODMEC,ANO,DEP,NOME,SETEDU,DISTRITO07,SUBPREF,CORED,ZONA,EFABAND9ANOS1S,EFABAND9ANOS2S,EFABAND9ANOS3S,EFABAND9ANOS4S,EFABAND9ANOS5S,EFABAND9ANOS6S,EFABAND9ANOS7S,EFABAND9ANOS8S,EFABAND9ANOS9S,EFABAND1S,EFABAND2S,EFABAND3S,EFABAND4S,EFABAND5S,EFABAND6S,EFABAND7S,EFABAND8S,TOTALEF_ABAND,EFAPROV9ANOS1S,EFAPROV9ANOS2S,EFAPROV9ANOS3S,EFAPROV9ANOS4S,EFAPROV9ANOS5S,EFAPROV9ANOS6S,EFAPROV9ANOS7S,EFAPROV9ANOS8S,EFAPROV9ANOS9S,EFAPROV1S,EFAPROV2S,EFAPROV3S,EFAPROV4S,EFAPROV5S,EFAPROV6S,EFAPROV7S,EFAPROV8S,TOTALEF_APROV,EFREPROV9ANOS1S,EFREPROV9ANOS2S,EFREPROV9ANOS3S,EFREPROV9ANOS4S,EFREPROV9ANOS5S,EFREPROV9ANOS6S,EFREPROV9ANOS7S,EFREPROV9ANOS8S,EFREPROV9ANOS9S,EFREPROV1S,EFREPROV2S,EFREPROV3S,EFREPROV4S,EFREPROV5S,EFREPROV6S,EFREPROV7S,EFREPROV8S,TOTALEF_REPROV,CONCLUINTES_EF,EMABAND1S,EMABAND2S,EMABAND3S,EMABAND4S,TOTAL_EM_ABAND,EMREPROV1S,EMREPROV2S,EMREPROV3S,EMREPROV4S,TOTAL_EM_REPROV,EMAPROV1S,EMAPROV2S,EMAPROV3S,EMAPROV4S,TOTAL_EM_APROV,CONCLUINTES_EM,CONCLUINTES_EJA,EPAPROV,EPREPROV,EPABAND,EJAIABAND,EJAIAPROV,EJAIREPROV,EJAITOTAL,EJAIIABAND,EJAIIAPROV,EJAIIREPROV,EJAIITOTAL,"EJATOTAL,,"
35053107,2014,MUNICIPAL,"MILTOM CAMPOS, SEN.",1105,BRASILANDIA,FREGUESIA/BRASILANDIA,FREGUESIA/BRASILANDIA,NORTE,3,6,5,4,9,2,2,5,18,0,0,0,0,0,0,0,0,0,85,74,60,71,96,37,110,73,65,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,5,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,20,9,10,39,37,65,31,133,"172,"
35053119,2014,MUNICIPAL,THEO DUTRA,1107,BRASILANDIA,FREGUESIA/BRASILANDIA,FREGUESIA/BRASILANDIA,NORTE,0,0,0,0,2,0,6,6,4,0,0,0,0,0,0,0,0,0,98,98,98,91,91,0,82,78,111,0,0,0,0,0,0,0,0,0,0,3,18,2,1,0,25,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,1,103,59,163,"163,,"
35053120,2014,MUNICIPAL,PLINIO AYROSA,2906,FREGUESIA DO O,FREGUESIA/BRASILANDIA,FREGUESIA/BRASILANDIA,NORTE,5,2,1,2,2,0,2,0,3,0,0,0,0,0,0,0,0,0,67,76,69,62,94,0,122,100,79,0,0,0,0,0,0,0,0,0,0,1,5,1,2,0,1,21,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,29,65,26,120,"120,,"
35053132,2014,MUNICIPAL,BRASIL-JAPAO,6703,RIO PEQUENO,BUTANTA,BUTANTA,OESTE,1,1,0,1,1,0,15,6,1,0,0,0,0,0,0,0,0,0,55,54,35,65,63,0,47,53,60,0,0,0,0,0,0,0,0,0,1,0,9,2,2,0,23,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,30,16,13,59,26,110,122,258,"317,,"
35053144,2014,MUNICIPAL,"AMORIM LIMA, DES.",1201,BUTANTA,BUTANTA,BUTANTA,OESTE,1,2,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,59,86,68,73,67,33,82,81,73,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,"
35053156,2014,MUNICIPAL,"ARTHUR WHITAKER, DES.",9403,VILA SONIA,BUTANTA,BUTANTA,OESTE,0,0,4,1,2,3,3,2,7,0,0,0,0,0,0,0,0,0,28,59,78,62,93,23,44,64,88,0,0,0,0,0,0,0,0,0,0,0,8,3,4,8,19,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,24,12,0,36,16,50,67,133,"169,"
35053168,2014,MUNICIPAL,"THEODOMIRO DIAS, DES.",9403,VILA SONIA,BUTANTA,BUTANTA,OESTE,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,52,51,26,67,82,20,85,108,85,0,0,0,0,0,0,0,0,0,1,0,3,1,3,2,4,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,"
35053173,2014,MUNICIPAL,"ALCIDES GONCALVES ETCHEGOYEN, GEN.",6505,RAPOSO TAVARES,BUTANTA,BUTANTA,OESTE,3,2,3,0,1,0,5,9,5,0,0,0,0,0,0,0,0,0,75,80,71,74,73,0,64,61,80,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,"
35053181,2014,MUNICIPAL,"ALVARO SILVA BRAGA, GEN.",6702,RIO PEQUENO,BUTANTA,BUTANTA,OESTE,0,0,0,5,2,0,1,6,3,0,0,0,0,0,0,0,0,0,46,57,46,65,52,0,60,64,68,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,9,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,"
35053193,2014,MUNICIPAL,"EUCLYDES DE OLIVEIRA FIGUEIREDO, GEN.",6701,RIO PEQUENO,BUTANTA,BUTANTA,OESTE,0,0,0,0,0,0,4,4,16,0,0,0,0,0,0,0,0,0,78,84,54,68,95,54,81,107,87,0,0,0,0,0,0,0,0,0,0,0,11,0,0,9,13,20,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,"
